9.192769527435302734e-01 2.565988004207611084e-01 9.873422384262084961e-01 4.155907407402992249e-02 1.847265648841857910e+01
9.819942712783813477e-01 5.882230028510093689e-02 9.895960092544555664e-01 3.748688474297523499e-02 2.129966020584106445e+00
9.868940114974975586e-01 4.257236793637275696e-02 9.897084832191467285e-01 4.271222278475761414e-02 2.190821886062622070e+00
9.890350103378295898e-01 3.548390045762062073e-02 9.904722571372985840e-01 4.134108126163482666e-02 2.098283767700195312e+00
9.907542467117309570e-01 3.010557964444160461e-02 9.912359714508056641e-01 3.697148337960243225e-02 1.910687208175659180e+00
9.917660951614379883e-01 2.731040492653846741e-02 9.902845025062561035e-01 5.108064413070678711e-02 2.091754198074340820e+00
9.925359487533569336e-01 2.433585189282894135e-02 9.906851053237915039e-01 4.393932223320007324e-02 2.020489692687988281e+00
9.921082854270935059e-01 2.618020959198474884e-02 9.907352328300476074e-01 4.897988587617874146e-02 2.054990530014038086e+00
9.929782748222351074e-01 2.338198199868202209e-02 9.913236498832702637e-01 5.067953467369079590e-02 2.272610902786254883e+00
9.928218722343444824e-01 2.444586344063282013e-02 9.913737177848815918e-01 4.971095919609069824e-02 2.157384872436523438e+00
9.931702613830566406e-01 2.364568784832954407e-02 9.909981489181518555e-01 5.279362946748733521e-02 1.937556982040405273e+00
9.931994080543518066e-01 2.387661114335060120e-02 9.904972910881042480e-01 6.621742248535156250e-02 2.285851716995239258e+00
9.936751127243041992e-01 2.232658676803112030e-02 9.910731911659240723e-01 6.020479276776313782e-02 2.005590200424194336e+00
9.940485954284667969e-01 2.154583670198917389e-02 9.917618036270141602e-01 5.683170631527900696e-02 2.091559410095214844e+00
9.938899874687194824e-01 2.146065421402454376e-02 9.916617274284362793e-01 5.981001630425453186e-02 1.846395015716552734e+00
9.941820502281188965e-01 2.139507234096527100e-02 9.908227920532226562e-01 5.869190022349357605e-02 1.958088397979736328e+00
